Dept,Course,Last Name,Term,Year,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Course Workload,I would recommend this course,I attended class,Inspired to learn subject matter,Number Invited,Number of Survey Responses,Course Code
UMSOC,Soc Mass Communications SOC309H5FLEC0101,Scheibling,Summer,2023,5,5,5,5,5,5,29,49,,47,20,7,SOC309H5
FGI,Advanced Arabic Reading II ARA411H5SLEC0101,Elamroussy,Winter,2023,5,5,48,44,46,48,37,45,,49,17,12,ARA411H5
ANTRL,Behind Bars ANT405H5SLEC0101,Mant,Winter,2023,5,5,5,49,5,5,28,5,,48,24,13,ANT405H5
UMPSY,Cognitive Psy Lab PSY379H5SPRA0101,Fukuda,Winter,2023,5,5,5,48,49,49,36,48,,43,12,9,PSY379H5
ANTRL,Living and Dying ANT462H5SLEC0101,Wool,Winter,2023,5,5,5,48,48,5,28,43,,43,22,6,ANT462H5
UMSOC,Prsns Punishment Surv Acr Glbe SOC403H5SLEC0101,Flores,Winter,2023,5,5,5,46,5,5,32,5,,5,15,5,SOC403H5
UMPSY,Sp Topic Abnormal Psy PSY440H5SLEC0101,Farb,Winter,2023,5,5,5,46,5,5,36,46,,34,17,5,PSY440H5
UMPSY,Sp Topic Develop Psy PSY410H5SLEC0101,VanderLaan,Winter,2023,5,47,49,44,44,48,28,48,,48,18,9,PSY410H5
FGI,Spanish for Beginners SPA100Y5YLEC0101,Bijos,Winter,2023,5,48,5,5,48,48,3,5,,48,34,5,SPA100Y5
UMPSY,Special Topics in Cognition PSY471H5SLEC0101,Fukuda,Winter,2023,5,5,5,46,44,48,36,46,,48,10,5,PSY471H5
CHMPS,Stellar Syst Galaxies Universe AST222H5SLEC0101,Hirsch,Winter,2023,5,5,5,5,5,5,3,49,,5,9,7,AST222H5
ENGDR,Literary Theory / Methods ENG414H5FLEC0101,Janes,Fall,2022,5,5,48,48,48,46,32,46,,46,14,5,ENG414H5
FGI,Pragmatics LIN338H5FLEC0101,Beekhuizen,Fall,2022,5,5,5,46,46,46,32,42,,46,12,5,LIN338H5
UMPSY,Special Topics in Cognition PSY471H5FLEC0101,Kosovicheva,Fall,2022,5,5,49,5,48,5,32,5,,48,16,9,PSY471H5
UMPSY,Theory Psychotherapy PSY343H5FLEC0101,Carlson,Fall,2022,5,49,47,46,46,45,31,46,,46,53,20,PSY343H5
UMBIO,Evol Perspec on Cog  Behav BIO405H5FLEC0101,Thiagavel,Summer,2022,5,486,5,486,5,5,243,5,,471,8,7,BIO405H5
UMPSY,Gender and Sexual Development PSY317H5FLEC0101,MacMullin,Summer,2022,5,488,5,475,475,5,263,488,,488,14,8,PSY317H5
UMVIS,Topics Contemp Art and Theory FAH494H5SLEC0101,Rafiq,Summer,2022,5,45,5,47,47,45,27,48,,47,8,6,FAH494H5
IMI,INTEGRATIONPROFDECMAKING II MGT2283HYLEC0101,Iqbal,Summer,2022,5,5,5,5,5,5,5,5,,5,37,7,
MCS,Calculus MAT137Y5YLEC9103,Khatchatourian,Winter,2022,5,49,48,46,46,44,44,39,,42,63,17,MAT137Y5
ICC,Comm in a World of Data WRI363H5SLEC9101,Maddalena,Winter,2022,5,48,5,5,5,5,26,5,,46,8,5,WRI363H5
UMGGR,Environmental Law and Policy ENV430H5SLEC9101,Besco,Winter,2022,5,5,5,5,5,48,33,42,,45,18,6,ENV430H5
ICC,Making a Book WRI420H5SLEC9101,Allen,Winter,2022,5,49,49,48,5,5,4,48,,48,10,8,WRI420H5
ICC,Media Audiences CCT381H5SLEC9101,Guadagnolo,Winter,2022,5,5,5,47,47,5,28,48,,5,10,6,CCT381H5
UMBIO,Molecular  Cell Physiology BIO411H5SLEC9101,Cheng,Winter,2022,5,47,5,5,47,48,32,48,,47,14,6,BIO411H5
UMPSY,PracticumExcept Human Learn PSY442Y5YLEC9101,Kamenetsky,Winter,2022,5,5,5,48,5,5,38,5,,4,21,5,PSY442Y5
ICC,Social Data Analytics CCT416H5S PRA9101,McEwan,Winter,2022,5,5,5,48,48,5,3,5,,5,25,5,CCT416H5
ENGDR,Sp Topic in World Lit ENG371H5SLEC0101,Raza Kolb,Winter,2022,5,5,5,5,5,5,32,5,,48,14,6,ENG371H5
UMPSY,Sp Topic Social Psy PSY420H5SLEC9101,Chung,Winter,2022,5,5,5,48,48,5,3,48,,48,15,5,PSY420H5
UMMGT,Special Topics for Management MGT311H5S PRA9101,Trippen,Winter,2022,5,47,5,43,43,43,34,46,,47,13,7,MGT311H5
FGI,Supp Instr Higher Ed PeerFSG EDS325H5SLEC9101,Grimaldi,Winter,2022,5,5,5,5,5,48,27,5,,48,34,6,EDS325H5
UMPOL,Topics Internat Relations POL487H5SLEC9101,Shahrooz,Winter,2022,5,5,5,49,5,49,3,49,,49,16,7,POL487H5
ICC,User Exp Dsgn UXD Board Games CCT419H5SLEC9101,Szigeti,Winter,2022,5,48,5,5,5,5,33,48,,43,39,5,CCT419H5
UMSOC,Canadian Criminal Justice SOC210H5FLEC9101,OwusuBempah,Fall,2021,5,48,48,43,43,43,32,43,,47,33,6,SOC210H5
ICC,Enterprise Risk Management MGD426H5FLEC9101,Francis,Fall,2021,5,5,5,5,48,5,3,5,,5,38,6,MGD426H5
ANTRL,Ethics Professionalism in FSC FSC271H5FLEC0101,Clayton,Fall,2021,5,48,5,41,46,49,24,46,,43,21,8,FSC271H5
ANTRL,Ethics Professionalism in FSC FSC271H5FLEC0101,Woodall,Fall,2021,5,48,5,41,46,49,24,46,,43,21,8,FSC271H5
ANTRL,Forensic Toxicology FSC402H5FLEC0101,Woodall,Fall,2021,5,5,5,47,49,49,29,49,,46,35,13,FSC402H5
UMBIO,Topics  Ecology and Evolution BIO406H5FLEC9101,Thiagavel,Fall,2021,5,5,47,43,4,4,23,5,,43,24,6,BIO406H5
UMPOL,Can Comp Perspective POL111H5SLEC0101,Pond,Summer,2021,5,5,48,5,5,48,28,48,,48,28,5,POL111H5
UMPOL,Contemp Challenges Internl Rel POL210H5SLEC9101,Yaniszewski,Summer,2021,5,49,5,43,46,47,36,47,,49,22,7,POL210H5
FGI,Introductory German GER100Y5YLEC9101,Schafer,Summer,2021,5,5,49,48,49,5,34,48,,49,14,8,GER100Y5
HISCL,Advanced Topics in Buddhism RLG470H5SLEC9101,Emmrich,Winter,2021,5,43,45,47,48,47,28,45,,48,14,6,RLG470H5
MCS,Complex Analysis MAT354H5SLEC9101,Binder,Winter,2021,5,49,47,47,48,43,4,45,,44,10,10,MAT354H5
UMBIO,Selected Topics in Biology I BIO483H5SLEC9101,Erclik,Winter,2021,5,48,5,48,48,5,38,44,,42,23,5,BIO483H5
UMPSY,Sp Topic Develop Psy PSY410H5SLEC9101,Peragine,Winter,2021,5,5,5,46,46,49,34,47,,47,9,7,PSY410H5
UMPOL,Topics in Can Politics POL490H5SLEC9101,Finegan,Winter,2021,5,5,5,5,5,5,31,49,,49,19,7,POL490H5
UMPOL,Topics in Comparative Politics POL390H5SLEC9101,Kotsovilis,Winter,2021,5,48,48,45,5,48,33,48,,38,15,5,POL390H5
UMPOL,Topics in Comparative Politics POL438H5SLEC9101,Clark,Winter,2021,5,5,5,5,5,5,38,43,,48,10,6,POL438H5
UMVIS,Topics in Visual Culture/Comm VCC490H5SLEC9101,Narine,Winter,2021,5,5,47,5,47,47,37,43,,37,16,5,VCC490H5
UMPOL,Topics Internat Relations POL487H5SLEC9101,Sears,Winter,2021,5,48,48,48,48,44,34,42,,5,11,5,POL487H5
HISCL,Adv Top in Religion RLG401H5FLEC9101,Derry,Fall,2020,5,49,5,5,5,48,3,5,,44,17,9,RLG401H5
ANTRL,Archae Fieldwork ANT318H5FLEC0101,Brand,Fall,2020,5,5,5,5,5,5,32,5,,48,8,5,ANT318H5
ANTRL,Forensic Anthrop Field School ANT306H5FPRA0101,Rogers,Fall,2020,5,5,49,49,49,48,32,49,,49,17,9,ANT306H5
ANTRL,Forensic Psychopharmacology FSC370H5FLEC9101,Woodall,Fall,2020,5,5,5,47,47,48,28,48,,47,28,19,FSC370H5
ANTRL,Sp Prob in Socioc  Lin Anthro ANT431H5FLEC9101,Bonduelle,Fall,2020,5,49,5,46,49,49,37,5,,46,9,7,ANT431H5
UMPOL,Topics in Comparative Politics POL438H5FLEC9101,Finegan,Fall,2020,5,5,5,48,47,5,33,48,,45,10,6,POL438H5
UMECO,Adv Topics in Financial Econ ECO440H5SLEC0101,Aivazian,Winter,2020,5,5,5,48,48,48,34,48,,46,8,5,ECO440H5
MCS,Analysis II MAT257Y5YLEC0101,Holden,Winter,2020,5,49,5,41,41,49,41,44,,48,9,8,MAT257Y5
UMBIO,Field Mthds Exper Dsgn Ecology BIO313H5SPRA0101,McMeans,Winter,2020,5,5,5,5,5,5,3,48,,46,28,5,BIO313H5
FGI,Introductory German 1 GER100Y5YLEC0201,Schafer,Winter,2020,5,5,5,49,5,5,27,49,,49,21,7,GER100Y5
UMPSY,PracticumExcept Human Learn PSY442Y5YLEC0101,Mahipaul,Winter,2020,5,5,49,47,48,5,47,46,,5,16,13,PSY442Y5
CHMPS,Separations  Chromatography CHM416H5SLEC0101,Sedighi,Winter,2020,5,49,5,47,47,5,32,47,,48,20,9,CHM416H5
ENGDR,Sp Topic in American Lit ENG366H5SLEC0101,Thomas,Winter,2020,5,5,5,49,48,49,32,5,,49,23,10,ENG366H5
ANTRL,Sp Topics Bio Anthro Arch ANT380H5SLEC0101,Brand,Winter,2020,5,5,5,5,5,5,3,5,,5,28,5,ANT380H5
UMPOL,Topics in Comparative Politics POL438H5SLEC0101,LarrattSmith,Winter,2020,5,5,5,49,49,46,29,49,,49,13,7,POL438H5
UMPOL,Topics in Political Thought POL484Y5YLEC0101,Lippincott,Winter,2020,5,48,48,48,48,48,38,5,,48,10,5,POL484Y5
ERIN,utmONE Schl Launching Research UTM290H5SLEC0101,Cowan,Winter,2020,5,5,5,45,48,5,28,48,,5,13,6,UTM290H5
ERIN,utmONE Schl Launching Research UTM290H5SLEC0101,Richter,Winter,2020,5,5,5,45,48,5,28,48,,5,13,6,UTM290H5
MCS,Intro to Math Logic MAT309H5FLEC0101,Rennet,Fall,2019,5,5,5,47,48,43,4,42,,5,9,6,MAT309H5
UMPSY,Animal Behaviour Genetics PSY355H5FLEC0101,Gerlai,Fall,2019,5,45,45,45,45,4,35,42,,45,31,6,PSY355H5
UMPSY,PracticumExcept Human Learn PSY442Y5YLEC0101,Kamenetsky,Fall,2019,5,5,47,5,5,47,43,49,,47,16,7,PSY442Y5
UMSOC,Comparative Indigenous Plitics SOC455H5FLEC0101,Gray,Fall,2019,5,5,5,5,5,48,32,5,,5,13,5,SOC455H5
UMPSY,Sp Top Cognitive Psych PSY471H5SLEC0101,Fukuda,Winter,2019,5,5,49,49,48,5,32,47,,47,15,9,PSY471H5
UMSOC,Carceral Seminar SOC450H5SLEC0101,Goodman,Winter,2019,5,49,5,43,46,49,33,5,,5,15,9,SOC450H5
UMPSY,PracticumExcept Human Learn PSY442Y5YLEC0101,Kamenetsky,Winter,2019,5,5,49,48,46,5,43,46,,5,17,9,PSY442Y5
UMPOL,Pol  Gov Eastern Eur POL440Y5YLEC0101,Kotsovilis,Winter,2019,5,49,5,5,49,5,34,5,,48,20,9,POL440Y5
UMSOC,Research Project Crim Law Soc SOC440H5YLEC0101,Liu,Winter,2019,5,5,5,48,5,5,38,48,,5,8,5,SOC440H5
ENGDR,Global Lit Premodern World ENG326H5SLEC0101,Lockhart,Winter,2019,5,5,49,48,48,48,35,48,,45,15,8,ENG326H5
HISCL,Mem  Mem in Sth African His HIS463H5SLEC0101,MacArthur,Winter,2019,5,48,5,46,48,48,36,5,,48,9,5,HIS463H5
FGI,Introduct German 11 GER200Y5YLEC0101,Schafer,Winter,2019,5,5,5,5,5,5,3,46,,48,8,5,GER200Y5
HISCL,Topics in Christianity RLG340H5FLEC0101,Smith,Fall,2018,5,48,49,44,47,49,32,49,,49,30,9,RLG340H5
UMPOL,Topics Internat Relations POL487H5SLEC0101,Mirza,Summer,2018,5,5,5,5,5,5,36,5,,5,16,8,POL487H5
UMPOL,Topics Internat Relations POL487H5FLEC0101,Hannah,Summer,2018,5,5,5,5,5,5,36,5,,48,10,5,POL487H5
UMECO,Adv Topics in Financial Econ ECO440H5SLEC0101,Aivazian,Winter,2018,5,5,5,5,5,5,3,5,,5,12,9,ECO440H5
HISCL,Adv Topics S Asian Religion RLG460H5SLEC0101,Rao,Winter,2018,5,49,5,49,5,49,31,5,,5,20,8,RLG460H5
UMSOC,Advanced Topics in Sociology SOC444H5SLEC0101,Plys,Winter,2018,5,5,5,5,5,45,35,5,,5,10,6,SOC444H5
UMGGR,Geog of Finance  Fin Crisis GGR420H5SLEC0101,Walks,Winter,2018,5,5,5,47,48,48,32,5,,47,18,6,GGR420H5
UMPOL,Moral Reason Eco Hist POL478Y5YLEC0101,Day,Winter,2018,5,48,45,46,48,47,42,43,,45,16,6,POL478Y5
ENGDR,Seminar Brit Lit 19th Cent ENG460H5SLEC0101,Gillespie,Winter,2018,5,5,5,49,5,5,29,5,,46,19,8,ENG460H5
UMPHL,Socrates Project PHL489Y5YLEC0101,Piercy,Winter,2018,5,48,5,46,48,5,38,5,,5,6,5,PHL489Y5
ENGDR,Sp Topic in World Lit ENG371H5SLEC0101,Soros,Winter,2018,5,5,5,5,5,5,35,5,,5,8,8,ENG371H5
UMGGR,SPEC TOP PHYS GEOG GGR479H5SLEC0101,Lehnherr,Winter,2018,5,49,49,48,48,46,32,47,,44,19,11,GGR479H5
ANTRL,Forensic Anthrop Field School ANT306H5FPRA0101,Rogers,Fall,2017,5,5,5,44,46,48,38,49,,49,18,9,ANT306H5
HISCL,Lifecycle MedEarly Mod Europe HIS409H5FLEC0101,Cowan,Fall,2017,5,5,5,49,47,47,33,5,,49,17,10,HIS409H5
ICC,Macro  Knowledge Econ MGD425H5FLEC0101,Caraway,Fall,2017,5,5,5,48,5,5,26,48,,48,13,5,MGD425H5
ANTRL,No activity title found ANT433H5FLEC0101,Sidnell,Fall,2017,5,5,5,48,5,48,28,46,,46,12,5,ANT433H5
HISCL,Rel  Soc in Latin America HIS490H5FLEC0101,Coleman,Fall,2017,5,48,5,5,48,5,36,46,,48,12,5,HIS490H5
UMPSY,Special Topics in Perception PSY480H5FLEC0101,Beston,Fall,2017,5,5,5,5,5,5,32,5,,48,7,5,PSY480H5
ANTRL,Living  Dying Medical AnthroANT462H5SLEC0101,Sanders,Winter,2017,5,5,45,48,5,43,35,48,,48,17,5,ANT462H5
CHMPS,Advances in Chem Bio CHM462H5SLEC0101,Shin,Winter,2017,5,5,35,45,4,4,4,45,,45,13,5,CHM462H5
ENGDR,Playwriting DRE362H5SLEC0101,Sears,Winter,2017,5,5,5,5,5,5,32,5,,5,10,5,DRE362H5
UMVIS,Topics in Early Mod Art  ArchFAH493H5SLEC0101,Levy,Winter,2017,5,5,5,49,49,5,36,5,,5,9,7,FAH493H5
HISCL,Irans Islamic Revolution HIS397H5SLEC0101,TavakoliTarghi,Winter,2017,5,5,5,48,5,5,35,48,,48,17,6,HIS397H5
UMPSY,PracticumExcept Human Learn PSY442Y5YLEC0101,Kamenetsky,Winter,2017,5,5,46,46,46,47,41,47,,48,17,9,PSY442Y5
HISCL,Queer Theory WGS455H5FLEC0101,Brown,Fall,2016,5,5,5,49,5,48,34,45,,5,10,8,WGS455H5
UMPOL,Moral Reason Eco Hist POL478Y5FLEC0101,Day,Fall,2016,5,48,5,5,5,46,36,46,,48,12,5,POL478Y5
UMSOC,Walls to Bridges SOC450H5FLEC0101,Goodman,Fall,2016,5,49,5,5,49,5,37,49,,49,18,18,SOC450H5
UMPOL,Topics in Political Thought POL484Y5FLEC0101,Lippincott,Fall,2016,49,49,46,46,46,49,41,39,,46,16,7,POL484Y5
ANTRL,Sp Prb Sociocul/Lin Ant ANT431H5FLEC0101,Pokorny,Fall,2016,49,49,5,47,47,47,34,44,,47,18,9,ANT431H5
ENGDR,Senior Seminar II DRE422H5FLEC0101,GallagherRoss,Fall,2016,49,49,5,47,48,5,31,5,,49,19,10,DRE422H5
ENGDR,Top in Postcolonial Literature ENG371H5FLEC0101,Elam,Fall,2016,49,5,5,48,47,48,33,49,,47,26,18,ENG371H5
HISCL,Internship in History HIS498Y5YLEC0101,Brown,Winter,2017,49,5,46,44,44,48,4,49,,5,11,8,HIS498Y5
ENGDR,Adv St Brit Lit to the 19th CENG461H5SLEC0101,Gillespie,Winter,2017,49,5,5,49,5,49,34,49,,46,17,14,ENG461H5
UMBIO,Mol Bio Gene Expr  Cancer BIO477H5SLEC0101,Westwood,Winter,2017,49,49,4,41,43,41,37,41,,47,19,7,BIO477H5
UMSOC,Sen Seminar Law  Society SOC456H5FLEC0101,Korteweg,Summer,2017,49,5,49,49,49,49,34,49,,49,11,9,SOC456H5
UMBIO,Plant Metabolism Metabolomics BIO324H5FLEC0101,Phillips,Fall,2017,49,49,5,44,45,48,36,44,,49,10,8,BIO324H5
UMPOL,Topics Internat Relations POL487H5SLEC0101,Mirza,Summer,2017,49,49,49,46,45,49,36,48,,48,21,10,POL487H5
FGI,Influence of Confucianism CHI409H5FLEC0101,Chen,Fall,2017,49,49,5,48,48,48,27,47,,43,35,24,CHI409H5
ANTRL,Spec Prob Bio Anthro ANT430H5SLEC0101,Yasui,Winter,2018,49,48,49,48,5,48,32,49,,47,21,9,ANT430H5
ANTRL,Sp Prob in Socioc  Lin Anthro ANT431H5SLEC0101,Berquist,Winter,2018,49,49,47,47,47,44,33,44,,49,19,7,ANT431H5
UMPSY,Sp Topic Social Psy PSY420H5SLEC0101,Impett,Winter,2018,49,49,5,47,49,5,3,5,,48,15,9,PSY420H5
ANTRL,Special Topics in Forensic Sci FSC350H5SLEC0101,Luk,Winter,2018,49,47,5,49,5,49,3,47,,44,7,7,FSC350H5
FGI,The Philosophy of Love and Sex ITA219Y5YLEC0101,Grimaldi,Winter,2018,49,5,49,47,47,49,3,5,,49,19,9,ITA219Y5
UMPOL,Topics Internat Relations POL487H5SLEC0101,Mukherjee,Winter,2018,49,5,5,48,48,48,3,48,,48,17,12,POL487H5
UMPSY,PracticumExcept Human Learn PSY442Y5YLEC0101,Kamenetsky,Winter,2018,49,49,48,44,46,46,44,43,,44,17,10,PSY442Y5
HISCL,Modernity and Islam HIS396H5SLEC0101,TavakoliTarghi,Winter,2018,49,47,5,46,49,46,29,49,,49,16,8,HIS396H5
MCS,Analysis I MAT157Y5YLEC0101,Karshon,Winter,2018,49,49,48,42,42,44,32,42,,48,17,9,MAT157Y5
ENGDR,Senior Seminar I DRE420H5FLEC0101,Syme,Summer,2018,49,49,44,42,41,44,46,46,,46,19,11,DRE420H5
ERIN,Building Global Justice UTM196H5SLEC0101,Laliberte,Winter,2018,49,48,5,45,45,48,35,46,,42,19,10,UTM196H5
HISCL,Adv Topics Rlg Media Culture RLG411H5FLEC0101,Hamid,Summer,2018,49,46,49,46,46,47,34,46,,44,12,7,RLG411H5
UMPSY,Sp Topic Social Psy PSY420H5FLEC0101,Stellar,Fall,2018,49,5,5,46,47,49,31,49,,46,19,14,PSY420H5
ENGDR,Special Topic in Literary Thry ENG372H5FLEC0201,Slater,Fall,2018,49,49,49,48,49,49,33,5,,5,9,7,ENG372H5
ENGDR,Senior Seminar III DRE463H5FLEC0101,GallagherRoss,Fall,2018,49,49,5,47,47,48,28,5,,47,25,18,DRE463H5
ENGDR,Traditions of Theatre  Drama ENG121H5FLEC0101,GallagherRoss,Fall,2018,49,48,5,43,44,49,3,48,,45,27,8,ENG121H5
FGI,Introductory German 1 GER100Y5YLEC0101,Schafer,Winter,2019,49,48,49,49,47,47,26,43,,41,27,9,GER100Y5
ERIN,Launching Your Research UTM290H5SLEC0101,Richter,Winter,2019,49,5,5,48,49,5,33,49,,46,15,9,UTM290H5
CHMPS,Analy Phy Chm Instr Lab II CHM397H5SPRA0101,Piunno,Winter,2019,49,46,48,46,46,41,38,36,,45,17,8,CHM397H5
HISCL,WGS Practicum WGS435Y5YLEC0101,Simalchik,Winter,2019,49,5,5,5,5,5,33,49,,5,10,7,WGS435Y5
UMPHL,kant PHL314H5SLEC0101,Ware,Winter,2019,49,48,41,45,43,45,36,44,,41,20,8,PHL314H5
ICC,Macro  Knowledge Econ MGD425H5FLEC0101,Caraway,Fall,2018,49,49,5,5,5,49,28,49,,47,33,13,MGD425H5
ANTRL,Special Topics in Forensic Sci FSC350H5SLEC0101,Luk,Winter,2019,49,48,49,49,47,48,26,47,,45,14,13,FSC350H5
UMPOL,Topics in Political Thought POL484Y5YLEC0101,Lippincott,Winter,2019,49,48,47,44,46,47,41,38,,43,11,9,POL484Y5
ENGDR,Lit  Env Criticism ENG259H5SLEC0101,Laughlin,Winter,2019,49,49,49,49,49,49,33,44,,44,10,7,ENG259H5
ERIN,Launching Your Research UTM290H5SLEC0101,Cowan,Winter,2019,49,5,5,48,49,5,33,49,,46,15,9,UTM290H5
HISCL,Advanced Topics Study Religion RLG415H5SLEC0101,Derry,Winter,2019,49,47,47,45,46,47,32,46,,46,11,11,RLG415H5
HISCL,Feminist Cultural Stds Biomed WGS418H5FLEC0101,Charles,Fall,2019,49,49,49,48,5,45,41,44,,47,13,10,WGS418H5
ICC,Podcasting WRI380H5FLEC0101,Sethi,Fall,2019,49,5,5,49,5,49,34,46,,46,31,8,WRI380H5
UMPHL,Issues in Normative Ethics PHL374H5SLEC0101,Bryant,Summer,2019,49,49,49,48,47,48,33,48,,47,14,10,PHL374H5
HISCL,Sex and Gender in la Cite WGS343H5FLEC0101,Maynard,Summer,2019,49,49,5,5,49,49,3,5,,5,11,9,WGS343H5
FGI,Introductory Arabic ARA212Y5YLEC0101,Abdel Tawwab,Winter,2019,49,49,49,46,48,48,32,44,,46,36,20,ARA212Y5
MCS,Algebra II MAT247H5FLEC0101,Thind,Fall,2019,49,46,48,43,46,45,42,39,,43,18,13,MAT247H5
UMGGR,Geographies Indigenous Health GGR415H5FLEC0101,Wilson,Fall,2019,49,49,46,45,45,45,31,46,,45,19,8,GGR415H5
UMVIS,Topics in VCC VCC492H5SLEC0101,Loic,Winter,2020,49,49,49,49,49,48,28,49,,45,20,13,VCC492H5
ERIN,utmONE Schl Bldg Glbal Justice UTM196H5SLEC0101,Simalchik,Winter,2020,49,48,48,48,44,49,21,49,,49,23,9,UTM196H5
ANTRL,Anthro of Infectious Disease ANT341H5FLEC0101,Mant,Fall,2019,49,49,49,47,47,47,32,49,,49,27,15,ANT341H5
MCS,Topics in Computer Science CSC498H5SLEC0101,Maccio,Winter,2020,49,49,49,47,45,48,27,45,,45,34,13,CSC498H5
ICC,Topics in CCIT CCT490H5SLEC0101,Topouzova,Winter,2020,49,48,49,46,46,48,33,49,,46,10,8,CCT490H5
ANTRL,The Science of Cannabis FSC371H5SLEC0101,Woodall,Winter,2020,49,49,5,49,49,49,27,48,,49,25,16,FSC371H5
ENGDR,Sp Topic in World Lit ENG371H5SLEC0101,Raza Kolb,Winter,2020,49,49,5,48,49,48,32,47,,49,33,18,ENG371H5
FGI,Introductory Chinese I CHI103H5FLEC0101,Chen,Fall,2019,49,49,49,49,49,47,33,46,,49,36,10,CHI103H5
FGI,Indigenous Education EDS250H5FLEC0101,Neepin,Fall,2019,49,49,5,48,49,49,3,49,,5,21,10,EDS250H5
UMPOL,Moral Reason Eco Hist POL478Y5YLEC0101,Day,Winter,2020,49,49,49,49,49,47,39,47,,49,11,7,POL478Y5
ANTRL,Physical Evidence Microscopy FSC210H5SLEC0101,Luk,Winter,2020,49,49,5,48,48,47,26,49,,49,21,13,FSC210H5
UMMGT,Management Control MGT428H5SLEC0101,Schumann,Winter,2020,49,46,49,48,48,49,36,44,,44,19,8,MGT428H5
FGI,Intermediate Urdu URD312Y5YLEC0101,Hashmi,Winter,2020,49,5,49,49,5,48,28,48,,45,16,8,URD312Y5
HISCL,Advanced Topics in Global Hist HIS493H5SLEC0101,MacArthur,Winter,2020,49,48,49,47,47,46,37,44,,44,18,9,HIS493H5
MCS,Analysis I MAT157Y5YLEC0101,Holden,Winter,2020,49,49,5,48,49,48,39,4,,41,22,9,MAT157Y5
UMSOC,Adv Topics Crim Law Society SOC447H5SLEC0101,Haag,Winter,2020,49,49,47,47,47,47,29,43,,41,46,12,SOC447H5
UMPSY,Intro Psychology PSY100Y5FPRA0102,Huggon,Summer,2020,49,48,49,46,44,49,36,46,,48,50,9,PSY100Y5
UMVIS,Topics in Visual Culture/Comm VCC490H5FLEC9101,Narine,Fall,2020,49,46,47,49,49,47,27,49,,5,17,7,VCC490H5
UMPOL,Top Political Economy POL476H5FLEC9101,Wolfe,Fall,2020,49,49,5,49,5,49,36,44,,48,18,9,POL476H5
